dateh;hour;lease;t1;t2;hum;wind_speed;weather_code;weather_code_desc;is_holiday;is_holiday_desc;is_weekend;is_weekend_desc;season_type;season_type_desc
08-02-2016;5:00:00;2212;9;4;71;43.5;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
08-02-2016;6:00:00;1256;9;4;62;43.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
15-11-2015;7:00:00;297;16;16;72;43;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
29-11-2015;8:00:00;1029;13.5;13.5;65;43;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
01-03-2015;9:00:00;1708;11;11;48.5;43;2;Nubosidad Variable;0;No Feriado;1;FdS;0;Primavera
31-03-2015;10:00:00;459;11;11;62;43;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
07-01-2016;11:00:00;685;8.5;3.5;62;43;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
17-11-2015;12:00:00;1277;16.5;16.5;72.5;42.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
05-05-2015;13:00:00;1053;16;16;45;42.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
05-05-2015;14:00:00;1599;16;16;46.5;42.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
31-03-2015;15:00:00;48;13;13;82;42.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
29-11-2015;16:00:00;1047;13;13;65;42.5;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
05-12-2015;17:00:00;435;13;13;63;42.5;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
10-01-2015;18:00:00;800;11.5;11.5;67.5;42.5;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
31-03-2015;19:00:00;1271;11;8.5;54.5;42.5;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
31-03-2015;20:00:00;2623;11;11;47;42.5;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
28-03-2016;21:00:00;889;11;11;48.5;42.5;2;Nubosidad Variable;1;Feriado;0;DdS;0;Primavera
27-03-2016;22:00:00;553;10.5;8.5;64.5;42.5;7;Lluvia;0;No Feriado;1;FdS;0;Primavera
10-01-2015;23:00:00;1358;9;4.5;54;42.5;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
15-11-2015;0:00:00;1001;16;16;70;42;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
15-11-2015;1:00:00;163;15;15;77;42;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
06-05-2015;2:00:00;813;13.5;13.5;65;42;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
05-05-2015;3:00:00;1117;16;16;48;41.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
09-01-2015;4:00:00;420;14;14;77;41.5;4;Nublado;0;No Feriado;0;DdS;3;Invierno
05-12-2015;5:00:00;482;13;13;61;41.5;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
10-01-2015;6:00:00;1191;11.5;11.5;58;41.5;2;Nubosidad Variable;0;No Feriado;1;FdS;3;Invierno
28-03-2016;7:00:00;14;10;6;85;41.5;7;Lluvia;1;Feriado;0;DdS;0;Primavera
28-01-2015;8:00:00;624;7.5;2.5;73.5;41.5;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
02-06-2015;9:00:00;915;17.5;17.5;70.5;41;3;Parcialmente Nublado;0;No Feriado;0;DdS;1;Verano
15-11-2015;10:00:00;1384;17;17;66;41;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
18-11-2015;11:00:00;1129;16;16;59;41;2;Nubosidad Variable;0;No Feriado;0;DdS;2;Otono
09-01-2015;12:00:00;1094;15.5;15.5;77;41;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
05-10-2016;13:00:00;1124;15.5;15.5;53.5;41;2;Nubosidad Variable;0;No Feriado;0;DdS;2;Otono
09-01-2015;14:00:00;443;15;15;68;41;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
05-05-2015;15:00:00;3143;14.5;14.5;55;41;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
10-01-2015;16:00:00;757;14;14;74.5;41;7;Lluvia;0;No Feriado;1;FdS;3;Invierno
10-01-2015;17:00:00;153;13;13;77;41;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
06-02-2016;18:00:00;1253;13;13;63;41;2;Nubosidad Variable;0;No Feriado;1;FdS;3;Invierno
06-02-2016;19:00:00;848;13;13;59;41;2;Nubosidad Variable;0;No Feriado;1;FdS;3;Invierno
06-02-2016;20:00:00;1244;12;12;67;41;4;Nublado;0;No Feriado;1;FdS;3;Invierno
28-03-2016;21:00:00;410;9;4.5;66;41;3;Parcialmente Nublado;1;Feriado;0;DdS;0;Primavera
10-01-2015;22:00:00;189;14;14;72;40.5;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
06-05-2015;23:00:00;887;14;14;61;40.5;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
29-03-2015;0:00:00;875;13;13;55;40.5;2;Nubosidad Variable;0;No Feriado;1;FdS;0;Primavera
01-02-2016;1:00:00;571;11.5;11.5;56;40.5;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
06-04-2016;2:00:00;1496;11.5;11.5;45.5;40.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
28-03-2016;3:00:00;34;9;4.5;82;40.5;7;Lluvia;1;Feriado;0;DdS;0;Primavera
28-03-2016;4:00:00;21;8;3;87;40.5;7;Lluvia;1;Feriado;0;DdS;0;Primavera
02-06-2015;5:00:00;1550;19;19;60;40;3;Parcialmente Nublado;0;No Feriado;0;DdS;1;Verano
15-11-2015;6:00:00;335;16;16;77;40;4;Nublado;0;No Feriado;1;FdS;2;Otono
15-11-2015;7:00:00;161;16;16;72;40;4;Nublado;0;No Feriado;1;FdS;2;Otono
22-12-2015;8:00:00;850;15.5;15.5;70;40;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
09-01-2015;9:00:00;464;15;15;68;40;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
22-12-2015;10:00:00;944;14.5;14.5;74.5;40;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
21-02-2016;11:00:00;1431;14.5;14.5;74.5;40;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
10-01-2015;12:00:00;277;14;14;77;40;4;Nublado;0;No Feriado;1;FdS;3;Invierno
10-01-2015;13:00:00;321;14;14;74.5;40;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
02-06-2015;14:00:00;67;13;13;77;40;7;Lluvia;0;No Feriado;0;DdS;1;Verano
05-12-2015;15:00:00;990;13;13;65;40;4;Nublado;0;No Feriado;1;FdS;3;Invierno
01-02-2016;16:00:00;677;13;13;72;40;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
30-03-2015;17:00:00;215;12.5;12.5;85;40;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
06-02-2016;18:00:00;1104;12;12;72;40;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
26-03-2016;19:00:00;329;11.5;9;88;40;7;Lluvia;0;No Feriado;1;FdS;0;Primavera
15-01-2015;20:00:00;66;11;11;79.5;40;26;Nieve;0;No Feriado;0;DdS;3;Invierno
28-01-2015;21:00:00;558;10.5;8.5;67;40;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
14-01-2015;22:00:00;188;10;6;79;40;26;Nieve;0;No Feriado;0;DdS;3;Invierno
15-01-2015;23:00:00;91;10;6;82;40;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
02-03-2015;0:00:00;809;8.5;4;43;40;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
05-12-2015;1:00:00;1135;13;13;63;39.5;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
28-03-2016;2:00:00;33;9.5;5.5;81.5;39.5;7;Lluvia;1;Feriado;0;DdS;0;Primavera
20-08-2016;3:00:00;2100;19.5;19.5;60;39;2;Nubosidad Variable;0;No Feriado;1;FdS;1;Verano
02-06-2015;4:00:00;3419;19;19;56;39;2;Nubosidad Variable;0;No Feriado;0;DdS;1;Verano
15-11-2015;5:00:00;307;16;16;72;39;4;Nublado;0;No Feriado;1;FdS;2;Otono
05-10-2016;6:00:00;1518;16;16;48;39;2;Nubosidad Variable;0;No Feriado;0;DdS;2;Otono
05-10-2016;7:00:00;1425;16;16;50;39;2;Nubosidad Variable;0;No Feriado;0;DdS;2;Otono
05-10-2016;8:00:00;1569;15.5;15.5;49.5;39;2;Nubosidad Variable;0;No Feriado;0;DdS;2;Otono
05-05-2015;9:00:00;1876;15;15;72;39;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
05-10-2016;10:00:00;2185;15;15;53;39;1;Despejado;0;No Feriado;0;DdS;2;Otono
10-01-2015;11:00:00;392;14;14;77;39;4;Nublado;0;No Feriado;1;FdS;3;Invierno
01-02-2016;12:00:00;866;13.5;13.5;69.5;39;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
01-02-2016;13:00:00;832;13.5;13.5;72;39;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
29-11-2015;14:00:00;818;13;13;63;39;4;Nublado;0;No Feriado;1;FdS;2;Otono
29-11-2015;15:00:00;664;13;13;77;39;7;Lluvia;0;No Feriado;1;FdS;2;Otono
29-11-2015;16:00:00;417;13;13;77;39;7;Lluvia;0;No Feriado;1;FdS;2;Otono
05-12-2015;17:00:00;995;13;13;65;39;2;Nubosidad Variable;0;No Feriado;1;FdS;3;Invierno
29-01-2016;18:00:00;503;13;13;77;39;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
29-03-2015;19:00:00;392;12.5;12.5;91;39;7;Lluvia;0;No Feriado;1;FdS;0;Primavera
05-12-2015;20:00:00;695;12.5;12.5;65;39;2;Nubosidad Variable;0;No Feriado;1;FdS;3;Invierno
24-12-2015;21:00:00;266;12.5;12.5;79.5;39;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
20-02-2016;22:00:00;384;12.5;12.5;79.5;39;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
12-01-2015;23:00:00;654;12;12;74.5;39;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
30-01-2016;0:00:00;212;11.5;11.5;85;39;7;Lluvia;0;No Feriado;1;FdS;3;Invierno
06-04-2016;1:00:00;2966;11.5;11.5;44;39;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
17-11-2016;2:00:00;1420;11;8.5;67;39;7;Lluvia;0;No Feriado;0;DdS;2;Otono
02-02-2016;3:00:00;1032;10.5;8.5;50.5;39;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
02-02-2016;4:00:00;919;10;6;47;39;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
07-02-2016;5:00:00;196;10;6;82;39;7;Lluvia;0;No Feriado;1;FdS;3;Invierno
14-01-2015;6:00:00;344;9.5;5.5;76.5;39;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
24-02-2015;7:00:00;914;9.5;5.5;46.5;39;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
28-03-2016;8:00:00;34;8;3.5;87;39;7;Lluvia;1;Feriado;0;DdS;0;Primavera
17-11-2015;9:00:00;2679;16;16;67.5;38.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
29-03-2015;10:00:00;548;12.5;12.5;69.5;38.5;7;Lluvia;0;No Feriado;1;FdS;0;Primavera
02-02-2016;11:00:00;989;10.5;8.5;47;38.5;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
08-02-2016;12:00:00;1697;9.5;5;58;38.5;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
20-08-2016;13:00:00;2508;20.5;20.5;54.5;38;2;Nubosidad Variable;0;No Feriado;1;FdS;1;Verano
02-06-2015;14:00:00;906;17;17;77;38;3;Parcialmente Nublado;0;No Feriado;0;DdS;1;Verano
07-11-2015;15:00:00;639;17;17;83;38;7;Lluvia;0;No Feriado;1;FdS;2;Otono
15-11-2015;16:00:00;1724;17;17;68;38;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
05-10-2016;17:00:00;1235;16;16;57;38;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
05-10-2016;18:00:00;1524;16;16;53.5;38;2;Nubosidad Variable;0;No Feriado;0;DdS;2;Otono
15-11-2015;19:00:00;310;15.5;15.5;74.5;38;4;Nublado;0;No Feriado;1;FdS;2;Otono
18-05-2015;20:00:00;746;15;15;70;38;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
15-11-2015;21:00:00;100;15;15;77;38;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
18-11-2015;22:00:00;967;15;15;70;38;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
22-12-2015;23:00:00;1314;15;15;77;38;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
05-05-2015;0:00:00;806;14.5;14.5;67.5;38;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
06-05-2015;1:00:00;1260;14.5;14.5;63;38;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
05-05-2015;2:00:00;832;14;14;61;38;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
30-11-2015;3:00:00;780;14;14;67;38;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
05-05-2015;4:00:00;978;13.5;13.5;61;38;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
06-05-2015;5:00:00;763;13.5;13.5;65.5;38;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
30-11-2015;6:00:00;777;13.5;13.5;72;38;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
05-12-2015;7:00:00;853;13;13;69.5;38;4;Nublado;0;No Feriado;1;FdS;3;Invierno
05-12-2015;8:00:00;451;13;13;63;38;4;Nublado;0;No Feriado;1;FdS;3;Invierno
06-05-2015;9:00:00;514;12.5;12.5;77;38;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
05-12-2015;10:00:00;1129;12.5;12.5;69.5;38;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
05-12-2015;11:00:00;296;12;12;69.5;38;1;Despejado;0;No Feriado;1;FdS;3;Invierno
21-12-2015;12:00:00;524;12;12;88;38;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
29-01-2016;13:00:00;3452;12;12;72;38;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
29-01-2016;14:00:00;871;12;12;69.5;38;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
06-02-2016;15:00:00;495;12;12;63;38;7;Lluvia;0;No Feriado;1;FdS;3;Invierno
26-01-2016;16:00:00;414;11;11;79.5;38;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
27-03-2016;17:00:00;1071;11;11;58;38;2;Nubosidad Variable;0;No Feriado;1;FdS;0;Primavera
10-01-2015;18:00:00;1395;10.5;8.5;54;38;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
10-04-2016;19:00:00;2124;10.5;8.5;60;38;1;Despejado;0;No Feriado;1;FdS;0;Primavera
14-01-2015;20:00:00;537;10;6;71;38;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
01-04-2015;21:00:00;1094;10;6;48.5;38;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
07-02-2016;22:00:00;1324;10;6;58;38;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
01-04-2015;23:00:00;796;9.5;5.5;50;38;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
02-03-2015;0:00:00;736;9;5;40;38;1;Despejado;0;No Feriado;0;DdS;0;Primavera
07-02-2016;1:00:00;211;8.5;4;82;38;7;Lluvia;0;No Feriado;1;FdS;3;Invierno
23-02-2015;2:00:00;1272;7;2;55;38;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
12-01-2016;3:00:00;1274;7;2;76;38;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
03-03-2016;4:00:00;52;7;2;71;38;4;Nublado;0;No Feriado;0;DdS;0;Primavera
28-01-2015;5:00:00;629;6.5;1.5;71;38;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
21-11-2015;6:00:00;1012;6;1;68.5;38;2;Nubosidad Variable;0;No Feriado;1;FdS;2;Otono
02-03-2016;7:00:00;1654;6;1;76;38;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
03-03-2016;8:00:00;28;6;1;61;38;4;Nublado;0;No Feriado;0;DdS;0;Primavera
27-07-2015;9:00:00;1494;20;20;49;37;2;Nubosidad Variable;0;No Feriado;0;DdS;1;Verano
28-07-2015;10:00:00;1472;19.5;19.5;46;37;2;Nubosidad Variable;0;No Feriado;0;DdS;1;Verano
17-11-2015;11:00:00;2713;16;16;68;37;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
15-11-2015;12:00:00;104;15.5;15.5;74.5;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
05-05-2015;13:00:00;1812;14;14;59;37;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
06-05-2015;14:00:00;2605;14;14;67;37;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
06-05-2015;15:00:00;3006;14;14;65;37;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
18-11-2015;16:00:00;571;14;14;65;37;2;Nubosidad Variable;0;No Feriado;0;DdS;2;Otono
22-12-2015;17:00:00;471;14;14;82;37;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
24-12-2015;18:00:00;479;14;14;67;37;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
05-12-2015;19:00:00;960;13.5;13.5;65;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
27-01-2016;20:00:00;740;13.5;13.5;79.5;37;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
31-01-2016;21:00:00;436;13.5;13.5;79.5;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
09-01-2015;22:00:00;1229;13;13;79.5;37;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
30-11-2015;23:00:00;853;13;13;77;37;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
06-02-2016;0:00:00;1294;13;13;63;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
17-11-2016;1:00:00;930;13;13;67;37;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
29-03-2015;2:00:00;839;12;12;56;37;2;Nubosidad Variable;0;No Feriado;1;FdS;0;Primavera
30-03-2015;3:00:00;376;12;12;88;37;4;Nublado;0;No Feriado;0;DdS;0;Primavera
29-01-2016;4:00:00;370;12;12;82;37;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
06-02-2016;5:00:00;1219;12;12;69.5;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
26-01-2016;6:00:00;1731;11.5;11.5;85;37;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
15-01-2015;7:00:00;23;11;11;77;37;26;Nieve;0;No Feriado;0;DdS;3;Invierno
01-04-2015;8:00:00;1013;11;11;47;37;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
26-01-2016;9:00:00;604;11;11;82;37;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
27-03-2016;10:00:00;1109;11;11;58;37;2;Nubosidad Variable;0;No Feriado;1;FdS;0;Primavera
01-03-2015;11:00:00;177;10.5;8.5;67;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;0;Primavera
28-03-2016;12:00:00;615;10.5;8.5;58;37;2;Nubosidad Variable;1;Feriado;0;DdS;0;Primavera
06-02-2016;13:00:00;172;10;6;88;37;7;Lluvia;0;No Feriado;1;FdS;3;Invierno
11-01-2015;14:00:00;237;9;5;66;37;7;Lluvia;0;No Feriado;1;FdS;3;Invierno
27-03-2016;15:00:00;687;9;5;76;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;0;Primavera
07-01-2016;16:00:00;838;8;3.5;62;37;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
28-01-2015;17:00:00;665;7;2;59;37;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
28-01-2015;18:00:00;823;6.5;1.5;55;37;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
02-03-2016;19:00:00;691;6.5;1.5;63.5;37;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
21-11-2015;20:00:00;687;6;1;71;37;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
06-04-2016;21:00:00;896;11.5;11.5;51;36.5;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
20-08-2016;22:00:00;2523;20.5;20.5;51.5;36;3;Parcialmente Nublado;0;No Feriado;1;FdS;1;Verano
20-08-2016;23:00:00;2294;19;19;64;36;2;Nubosidad Variable;0;No Feriado;1;FdS;1;Verano
02-06-2015;0:00:00;916;16.5;16.5;80;36;3;Parcialmente Nublado;0;No Feriado;0;DdS;1;Verano
18-05-2015;1:00:00;3508;15.5;15.5;45;36;1;Despejado;0;No Feriado;0;DdS;0;Primavera
09-01-2015;2:00:00;1983;15;15;82;36;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
